Player Name,Opponent Name,Server,Number of Forehands,Number of Backhands,Did Server win Point?,Serve Speed (km/h),"Win Condition (Ace, Winners, Errors)",Player Ranking,Opponent Ranking,Number of Faults,Player Age,Opponent Age,
Jannik Sinner,Andrey Rublev,Jannik Sinner,3,4,1,162,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,1,0,1,201,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,3,4,1,199,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,0,0,1,191,Ace,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,0,0,190,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,1,3,0,156,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,0,0,187,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,3,3,0,155,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,0,3,1,195,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,3,0,1,157,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,7,5,0,159,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,3,2,1,198,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,4,3,0,176,Winner,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,0,0,1,205,Ace,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,6,1,0,169,Winner,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,0,1,201,Winner,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,0,1,1,202,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,3,1,198,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,0,1,1,169,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,4,9,1,167,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,0,3,1,158,Error,4,5,1,22,26,
